,Make,Model,Investigation_Type,Event_Date,Aircraft_damage,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured
47677,Cessna,172G,Accident,2000-02-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47678,Cessna,172A,Accident,2000-02-01,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,0.0
47679,Piper,PA-46-310P,Accident,2000-02-01,Substantial,No,1.0,turbo prop,Personal,0.0,0.0,0.0,5.0
47680,Piper,PA-46-310P,Accident,2000-02-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
47681,Cessna,421B,Accident,2000-02-01,Destroyed,No,2.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47684,Cessna,A185F,Accident,2000-03-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
47685,Piper,PA-24-180,Accident,2000-03-01,Substantial,No,1.0,reciprocating,Personal,2.0,1.0,0.0,0.0
47687,Rotorway,Exec 90,Accident,2000-04-01,Substantial,Yes,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
47688,Beech,B200,Accident,2000-04-01,Substantial,No,2.0,turbo prop,Personal,0.0,0.0,0.0,3.0
47689,Cessna,172R,Accident,2000-05-01,Destroyed,No,1.0,reciprocating,Instructional,1.0,0.0,0.0,0.0
47690,Bell,206A,Accident,2000-05-01,Substantial,No,1.0,turbo shaft,Aerial Observation,0.0,0.0,0.0,4.0
47691,Cessna,310N,Accident,2000-06-01,Substantial,No,2.0,reciprocating,Instructional,2.0,0.0,0.0,0.0
47692,Beech,D-95A TRAVELAIR,Accident,2000-06-01,Destroyed,No,2.0,reciprocating,Positioning,1.0,0.0,0.0,0.0
47693,Cessna,150G,Accident,2000-07-01,Substantial,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
47694,Cessna,177B,Accident,2000-07-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
